symptom_text,disease,triage
I can't keep any food down and have loose motions.,Gastroenteritis,Self-care / Hydration
I am sweating a lot and having trouble breathing.,Cardiac Issue,Emergency Room
"I feel extremely hungry all the time, very thirsty, and tired.",Diabetes,Schedule Appointment
I have a heavy feeling in my chest spreading to my jaw and back.,Cardiac Issue,Emergency Room
There is a tight pressure in my chest and I feel dizzy.,Cardiac Issue,Emergency Room
I have a dry mouth and constant fatigue and my cuts take a long time to heal.,Diabetes,Schedule Appointment
I feel nauseous and have cramps in my lower abdomen.,Gastroenteritis,Self-care / Hydration
My joints ache and it's hard to move them when I wake up.,Arthritis,Schedule Appointment
I am sweating a lot and having trouble breathing.,Cardiac Issue,Emergency Room
"I have a slight fever, runny nose, and a persistent cough.",Common Cold,Self-care
I feel exhausted and have a bad cough.,COVID-19,Consult Doctor
My joints ache and it's hard to move them when I wake up.,Arthritis,Schedule Appointment
My joints ache and it's hard to move them when I wake up.,Arthritis,Schedule Appointment
Things look fuzzy and my eyes feel strained when I look at screens.,Refractive Error (Eye Issue),Schedule Eye Exam
"My stomach hurts, I have diarrhea, and I keep vomiting.",Gastroenteritis,Self-care / Hydration
I have radiating pain spreading to my jaw and back.,Cardiac Issue,Emergency Room
My joints ache and it's hard to move them when I wake up.,Arthritis,Schedule Appointment
"My knees are swollen, red, and stiff in the morning.",Arthritis,Schedule Appointment
I am sweating a lot and having trouble breathing.,Cardiac Issue,Emergency Room
"My stomach hurts, I have diarrhea, and I keep vomiting.",Gastroenteritis,Self-care / Hydration
"I lost my sense of smell, have a fever, and feel extremely tired.",COVID-19,Consult Doctor
I'm feeling congested with a mild headache and sore throat.,Common Cold,Self-care
I can't keep any food down and have loose motions.,Gastroenteritis,Self-care / Hydration
Bright lights hurt my eyes and I feel dizzy.,Migraine,Consult Doctor
I have a dry mouth and constant fatigue and my cuts take a long time to heal.,Diabetes,Schedule Appointment
I am sweating a lot and having trouble breathing.,Cardiac Issue,Emergency Room
I am experiencing blurry vision and my eyes get tired easily.,Refractive Error (Eye Issue),Schedule Eye Exam
My body aches and I have a high temperature with a sore throat.,COVID-19,Consult Doctor
I have a throbbing headache in the back and feel nauseous.,Migraine,Consult Doctor
I have a throbbing headache on one side and feel nauseous.,Migraine,Consult Doctor
I am experiencing blurry vision and my eyes get tired easily.,Refractive Error (Eye Issue),Schedule Eye Exam
"My knees are swollen, red, and stiff in the morning.",Arthritis,Schedule Appointment
"My knees are swollen, red, and stiff in the morning.",Arthritis,Schedule Appointment
I have shortness of breath and a dry cough.,COVID-19,Consult Doctor
My body aches and I have a high temperature with a sore throat.,COVID-19,Consult Doctor
"I have to squint to read signs far away, my eyesight is weak.",Refractive Error (Eye Issue),Schedule Eye Exam
I'm feeling congested with a mild headache and sore throat.,Common Cold,Self-care
I can't keep any food down and have loose motions.,Gastroenteritis,Self-care / Hydration
My eyes are seeing blurry and I can't focus on distant objects.,Refractive Error (Eye Issue),Schedule Eye Exam
I feel a crushing pain in my chest and my left arm hurts.,Cardiac Issue,Emergency Room
"I lost my sense of smell, have a fever, and feel extremely tired.",COVID-19,Consult Doctor
"My knees are swollen, red, and stiff in the morning.",Arthritis,Schedule Appointment
I have severe joint pain in my fingers and wrists.,Arthritis,Schedule Appointment
Bright lights hurt my eyes and I feel dizzy.,Migraine,Consult Doctor
I am sweating a lot and having trouble breathing.,Cardiac Issue,Emergency Room
I feel nauseous and have cramps in my lower abdomen.,Gastroenteritis,Self-care / Hydration
I'm feeling congested with a mild headache and sore throat.,Common Cold,Self-care
I feel nauseous and have cramps in my lower abdomen.,Gastroenteritis,Self-care / Hydration
"I feel extremely hungry all the time, very thirsty, and tired.",Diabetes,Schedule Appointment
I am experiencing blurry vision and my eyes get tired easily.,Refractive Error (Eye Issue),Schedule Eye Exam
I have severe joint pain in my fingers and wrists.,Arthritis,Schedule Appointment
"I have a slight fever, runny nose, and a persistent cough.",Common Cold,Self-care
I lost weight unexpectedly and feel fatigued with blurry vision.,Diabetes,Schedule Appointment
Bright lights hurt my eyes and I feel dizzy.,Migraine,Consult Doctor
My throat hurts and I keep sneezing constantly.,Common Cold,Self-care
